Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
21/08/78,17,10.9,2.4,1978-08-21,1978,Aug,0,End,,
24/08/78,14.1,9.9,0,1978-08-24,1978,Aug,1,Start,4,Not drought
28/08/78,19.7,11.8,1.4,1978-08-28,1978,Aug,0,End,,
29/08/78,16,11.2,0,1978-08-29,1978,Aug,1,Start,1,Not drought
30/08/78,14.3,8.2,1.9,1978-08-30,1978,Aug,0,End,,
2/09/78,14.4,6.7,0,1978-09-02,1978,Sep,1,Start,4,Not drought
6/09/78,12.4,9.5,9.8,1978-09-06,1978,Sep,0,End,,
13/09/78,15.6,9.8,0,1978-09-13,1978,Sep,1,Start,1,Not drought
14/09/78,19.6,9.2,4.1,1978-09-14,1978,Sep,0,End,,
15/09/78,13.2,10,0,1978-09-15,1978,Sep,1,Start,1,Not drought
16/09/78,14.3,11.7,1.5,1978-09-16,1978,Sep,0,End,,
17/09/78,17.8,9.1,0,1978-09-17,1978,Sep,1,Start,4,Not drought
21/09/78,15.4,9.9,0.4,1978-09-21,1978,Sep,0,End,,
22/09/78,15.5,11.4,0,1978-09-22,1978,Sep,1,Start,2,Not drought
24/09/78,19.2,11.5,0.2,1978-09-24,1978,Sep,0,End,,
26/09/78,13.6,7.9,0,1978-09-26,1978,Sep,1,Start,1,Not drought
27/09/78,13.4,8,8,1978-09-27,1978,Sep,0,End,,
2/10/78,11.6,1.9,0,1978-10-02,1978,Oct,1,Start,1,Not drought
3/10/78,11.7,7.3,3.5,1978-10-03,1978,Oct,0,End,,
6/10/78,14.5,11.5,0,1978-10-06,1978,Oct,1,Start,4,Not drought
10/10/78,15.3,11.4,2.9,1978-10-10,1978,Oct,0,End,,
12/10/78,19.4,11.6,0,1978-10-12,1978,Oct,1,Start,3,Not drought
15/10/78,12,8.2,2.5,1978-10-15,1978,Oct,0,End,,
18/10/78,7.6,-0.5,0,1978-10-18,1978,Oct,1,Start,1,Not drought
19/10/78,9.1,5.6,0.7,1978-10-19,1978,Oct,0,End,,
24/10/78,12.3,7.5,0,1978-10-24,1978,Oct,1,Start,1,Not drought
25/10/78,14.8,11,17.5,1978-10-25,1978,Oct,0,End,,
28/10/78,12.6,5,0,1978-10-28,1978,Oct,1,Start,4,Not drought
1/11/78,12.7,3.6,1.4,1978-11-01,1978,Nov,0,End,,
2/11/78,12.5,7.4,0,1978-11-02,1978,Nov,1,Start,1,Not drought
3/11/78,12.9,5.6,0.4,1978-11-03,1978,Nov,0,End,,
4/11/78,11,6.9,0,1978-11-04,1978,Nov,1,Start,1,Not drought
5/11/78,13.7,10,0.3,1978-11-05,1978,Nov,0,End,,
6/11/78,13.3,7.9,0,1978-11-06,1978,Nov,1,Start,7,Not drought
13/11/78,10.6,4.1,9.9,1978-11-13,1978,Nov,0,End,,
27/11/78,1.8,-4.3,0,1978-11-27,1978,Nov,1,Start,5,Not drought
2/12/78,-0.7,-4.5,1.9,1978-12-02,1978,Dec,0,End,,
5/12/78,4.8,-3.3,0,1978-12-05,1978,Dec,1,Start,1,Not drought
6/12/78,1.3,-2.9,0.5,1978-12-06,1978,Dec,0,End,,
7/12/78,1.5,-2.4,0,1978-12-07,1978,Dec,1,Start,1,Not drought
8/12/78,5.4,-2.1,14.1,1978-12-08,1978,Dec,0,End,,
17/12/78,3.2,-0.9,0,1978-12-17,1978,Dec,1,Start,4,Not drought
21/12/78,1.4,-3,5.3,1978-12-21,1978,Dec,0,End,,
23/12/78,2.3,-7.2,0,1978-12-23,1978,Dec,1,Start,1,Not drought
24/12/78,0.7,-6.1,3.6,1978-12-24,1978,Dec,0,End,,
4/01/79,-1.6,-6.3,0,1979-01-04,1979,Jan,1,Start,3,Not drought
7/01/79,6,-1.5,8.1,1979-01-07,1979,Jan,0,End,,
9/01/79,4,-0.4,0,1979-01-09,1979,Jan,1,Start,1,Not drought
10/01/79,1.4,-0.7,6.8,1979-01-10,1979,Jan,0,End,,
13/01/79,-0.3,-13,0,1979-01-13,1979,Jan,1,Start,4,Not drought
17/01/79,4.7,-0.6,3.4,1979-01-17,1979,Jan,0,End,,
22/01/79,1.8,-2.4,0,1979-01-22,1979,Jan,1,Start,2,Not drought
24/01/79,1.2,-5.3,1.7,1979-01-24,1979,Jan,0,End,,
27/01/79,-0.5,-5.5,0,1979-01-27,1979,Jan,1,Start,2,Not drought
29/01/79,0,-5.4,3.6,1979-01-29,1979,Jan,0,End,,
31/01/79,2.4,-4.7,0,1979-01-31,1979,Jan,1,Start,1,Not drought
1/02/79,3,1.5,12.2,1979-02-01,1979,Feb,0,End,,
3/02/79,1.3,-3.3,0,1979-02-03,1979,Feb,1,Start,4,Not drought
7/02/79,0.3,-2.9,0.3,1979-02-07,1979,Feb,0,End,,
9/02/79,1.2,-5.4,0,1979-02-09,1979,Feb,1,Start,1,Not drought
10/02/79,0.1,-1.9,0.2,1979-02-10,1979,Feb,0,End,,
11/02/79,-0.1,-1.9,0,1979-02-11,1979,Feb,1,Start,1,Not drought
